Time,GeoType,GeoID,GeoRank,Geography,Percent
2017,NTA2010,8146,8,Bayside-Bayside Hills,59.0
2017,NTA2010,8147,8,Ft. Totten-Bay Terrace-Clearview,68.0
2017,NTA2010,8148,8,Auburndale,68.0
2017,NTA2010,8149,8,Whitestone,73.0
2017,NTA2010,8150,8,Elmhurst-Maspeth,78.0
2017,NTA2010,8151,8,Murray Hill,71.0
2017,NTA2010,8152,8,East Flushing,66.0
2017,NTA2010,8153,8,Woodhaven,75.0
2017,NTA2010,8154,8,Richmond Hill,68.0
2017,NTA2010,8155,8,South Ozone Park,40.0
2017,NTA2010,8156,8,Ozone Park,76.0
2017,NTA2010,8157,8,Lindenwood-Howard Beach,89.0
2017,NTA2010,8160,8,Kew Gardens,77.0
2017,NTA2010,8161,8,Jamaica,90.0
2017,NTA2010,8162,8,Queensboro Hill,89.0
2017,NTA2010,8163,8,Woodside,64.0
2017,NTA2010,8166,8,Laurelton,23.0
2017,NTA2010,8168,8,Queensbridge-Ravenswood-Long Island City,90.0
2017,NTA2010,8170,8,Astoria,46.0
2017,NTA2010,8171,8,Old Astoria,95.0
2017,NTA2010,8172,8,Steinway,64.0
2017,NTA2010,8176,8,Baisley Park,93.0
2017,NTA2010,8501,8,Annadale-Huguenot-Prince's Bay-Eltingville,68.0
2017,NTA2010,8505,8,New Springville-Bloomfield-Travis,58.0
2017,NTA2010,8507,8,Westerleigh,58.0
2017,NTA2010,8508,8,Grymes Hill-Clifton-Fox Hills,62.0
2017,NTA2010,8511,8,Charleston-Richmond Valley-Tottenville,65.0
2017,NTA2010,8512,8,Mariner's Harbor-Arlington-Port Ivory-Graniteville,38.0
2017,NTA2010,8514,8,Grasmere-Arrochar-Ft. Wadsworth,67.0
2017,NTA2010,8522,8,West New Brighton-New Brighton-St. George,93.0
2017,NTA2010,8524,8,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,62.0
2017,NTA2010,8525,8,Oakwood-Oakwood Beach,61.0
2017,NTA2010,8528,8,Port Richmond,56.0
2017,NTA2010,8532,8,Rossville-Woodrow,54.0
2017,NTA2010,8535,8,New Brighton-Silver Lake,83.0
2017,NTA2010,8536,8,Old Town-Dongan Hills-South Beach,66.0
2017,NTA2010,8537,8,Stapleton-Rosebank,62.0
2017,NTA2010,8545,8,New Dorp-Midland Beach,66.0
2017,NTA2010,8548,8,Arden Heights,52.0
2017,NTA2010,8554,8,Great Kills,60.0
2017,UHF42,101,4,Kingsbridge - Riverdale,88.0
2017,UHF42,102,4,Northeast Bronx,54.0
2017,UHF42,103,4,Fordham - Bronx Pk,98.0
2017,UHF42,104,4,Pelham - Throgs Neck,78.0
2017,UHF42,105,4,Crotona -Tremont,99.0
2017,UHF42,106,4,High Bridge - Morrisania,98.0
2017,UHF42,107,4,Hunts Point - Mott Haven,96.0
2017,UHF42,201,4,Greenpoint,94.0
2017,UHF42,202,4,Downtown - Heights - Slope,94.0
2017,UHF42,203,4,Bedford Stuyvesant - Crown Heights,94.0
2017,UHF42,204,4,East New York,84.0
2017,UHF42,205,4,Sunset Park,87.0
2017,UHF42,206,4,Borough Park,73.0
2017,UHF42,207,4,East Flatbush - Flatbush,62.0
2017,UHF42,208,4,Canarsie - Flatlands,76.0
2017,UHF42,209,4,Bensonhurst - Bay Ridge,80.0
2017,UHF42,210,4,Coney Island - Sheepshead Bay,78.0
2017,UHF42,211,4,Williamsburg - Bushwick,93.0
2017,UHF42,301,4,Washington Heights,100.0
2017,UHF42,302,4,Central Harlem - Morningside Heights,99.0
2017,UHF42,303,4,East Harlem,99.0
2017,UHF42,304,4,Upper West Side,99.0
2017,UHF42,305,4,Upper East Side,95.0
2017,UHF42,306,4,Chelsea - Clinton,94.0
2017,UHF42,307,4,Gramercy Park - Murray Hill,91.0
2017,UHF42,308,4,Greenwich Village - SoHo,99.0
2017,UHF42,309,4,Union Square - Lower East Side,100.0
2017,UHF42,310,4,Lower Manhattan,99.0
2017,UHF42,401,4,Long Island City - Astoria,66.0
2017,UHF42,402,4,West Queens,72.0
2017,UHF42,403,4,Flushing - Clearview,77.0
2017,UHF42,404,4,Bayside - Little Neck,74.0
2017,UHF42,405,4,Ridgewood - Forest Hills,71.0
2017,UHF42,406,4,Fresh Meadows,62.0
2017,UHF42,407,4,Southwest Queens,65.0
2017,UHF42,408,4,Jamaica,74.0
2017,UHF42,409,4,Southeast Queens,40.0
2017,UHF42,410,4,Rockaways,84.0
2017,UHF42,501,4,Port Richmond,55.0
2017,UHF42,502,4,Stapleton - St. George,73.0
2017,UHF42,503,4,Willowbrook,56.0
2017,UHF42,504,4,South Beach - Tottenville,60.0
2017,Borough,1,1,Bronx,87.0
2017,Borough,2,1,Brooklyn,82.0
2017,Borough,3,1,Manhattan,97.0
2017,Borough,4,1,Queens,69.0
2017,Borough,5,1,Staten Island,62.0
2017,Citywide,1,0,New York City,81.0
